price,brand,model,year,title_status,mileage,color,vin,lot,state,country
27900,ford,mustang,2019,clean vehicle,13558.0,white,  1fa6p8cf9k5108973,167750818,new mexico, usa
24700,ford,edge,2019,clean vehicle,27082.0,black,  2fmpk4k90kbb55589,167796672,nevada, usa
14400,ford,escape,2019,clean vehicle,17510.0,black,  1fmcu0f72kub34778,167750837,texas, usa
15000,ford,ecosport,2019,clean vehicle,24662.0,white,  maj6s3kl3kc251132,167796685,nevada, usa
17200,ford,door,2014,clean vehicle,96076.0,black,  1ftfw1ct0efc61704,167591154,florida, usa
12800,ford,ecosport,2019,clean vehicle,22858.0,white,  maj3s2ke1kc286878,167796687,nevada, usa
46900,ford,explorer,2020,clean vehicle,740.0,gray,  1fmsk8fh3lga11841,167751303,virginia, usa
2800,ford,door,2013,clean vehicle,110748.0,gray,  1fadp3k22dl187362,167591318,florida, usa
16200,ford,escape,2019,clean vehicle,25090.0,black,  1fmcu9gdxkub80402,167796688,nevada, usa
25200,ford,escape,2020,clean vehicle,7.0,black,  1fmcu9f61lua48374,167751305,virginia, usa
34800,ford,max,2019,clean vehicle,34277.0,silver,  1fmjk1ht9kea27962,167796741,nevada, usa
52000,ford,srw,2019,clean vehicle,34527.0,white,  1ft7w2bt5kee35425,167751324,texas, usa
26000,ford,door,2017,clean vehicle,99923.0,white,  1ft8w3bt6hee98746,167597753,texas, usa
40600,ford,expedition,2019,clean vehicle,39170.0,white,  1fmju1kt0kea17775,167796743,nevada, usa
55000,ford,srw,2019,clean vehicle,16569.0,no_color,  1ft8w3bt8kec78838,167751330,texas, usa
5000,ford,door,2015,clean vehicle,80612.0,black,  1fadp3f2xfl240127,167598272,texas, usa
36400,ford,max,2019,clean vehicle,36616.0,black,  1fmjk1jt7kea20244,167796748,nevada, usa
7500,ford,door,2015,clean vehicle,92165.0,white,  1fmcu9gx8fuc81762,167598285,texas, usa
14700,ford,escape,2019,clean vehicle,44778.0,silver,  1fmcu0gd3kub29710,167796751,nevada, usa
43900,ford,explorer,2020,clean vehicle,2089.0,no_color,  1fmsk7fh0lgb38489,167751362,south carolina, usa
6400,ford,door,2013,clean vehicle,91652.0,red,  3fa6p0hr1dr126940,167598533,texas, usa
41100,ford,expedition,2019,clean vehicle,35801.0,silver,  1fmju1kt4kea43604,167796754,nevada, usa
23000,ford,door,2013,clean vehicle,88781.0,white,  1ft7w2bt3deb85914,167598536,texas, usa
13900,ford,escape,2019,clean vehicle,36978.0,blue,  1fmcu0gd2kub10601,167796755,nevada, usa
19000,ford,door,2012,clean vehicle,189776.0,white,  1ft7w2bt4cea20954,167598650,texas, usa
34800,ford,max,2019,clean vehicle,35233.0,white,  1fmjk1ht3kea17945,167796756,nevada, usa
22000,ford,door,2012,clean vehicle,151641.0,white,  1ft7w2bt8ced04247,167598654,texas, usa
16300,ford,escape,2019,clean vehicle,37044.0,white,  1fmcu9hdxkub65946,167796758,nevada, usa
18800,ford,escape,2019,clean vehicle,15835.0,green,  1fmcu9gd1kub80952,167751575,virginia, usa
13000,ford,cab,2012,clean vehicle,201187.0,white,  1fduf5gt3cea67577,167598719,texas, usa
40900,ford,max,2019,clean vehicle,41928.0,black,  1fmjk1kt6kea28110,167796763,nevada, usa
47000,ford,expedition,2019,clean vehicle,37059.0,gray,  1fmju2at1kea28890,167751578,virginia, usa
12800,ford,door,2017,clean vehicle,33763.0,red,  3fa6p0hd6hr205675,167600745,wisconsin, usa
25500,ford,explorer,2019,clean vehicle,29850.0,gray,  1fm5k7f81kgb42773,167796764,nevada, usa
